name,screen_name,followers_count
Bored Ape Yacht Club,BoredApeYC,59339
Pranksy 📦,pranksyNFT,99224
Josh Ong 🍌,beijingdou,26631
Gary Vaynerchuk,garyvee,2372024
tropoFarmer.eth 🚽🍌,tropoFarmer,16140
Zeneca_33 🍌,Zeneca_33,27522
Beanie,beaniemaxi,51600
C”APΞ”tain Trippy 🍌🔥👑,CapetainTrippy,7396
FVCKRENDER,fvckrender,53144
✨888✨,Crypto888crypto,63154
Jonathan Long 🍌,long,17349
BenJammin.eth🍌,xBenJamminx,23502
COLΞ ❄️,ColeThereum,21571
Vivek (ravishanker.eth) 🐱👽,ABigThingBadly,8847
crypt0jack.eth 🍌👽,Crypt0jacked,5920
j1mmy.eth 📛⛺🦩,j1mmyeth,28174
Franklin (People’s Punk 349),ElectionDayMad1,6786
Jenkins The Valet 🍌,jenkinsthevalet,7325
𝕵🕊️ Lukevich.eth 🍌,JLukevich,6900
✨ 🐐 ✨,YatMuseum,6042
Ghxsts | NFT Collectibles,Ghxsts,21143
LeBored.eth,LeBoredJames,7774
JMT-NFT 🍌,jmt_nft,4515
OpenSea,opensea,258691
NFTsAnonymous.eth,NFTsAnonymous,10149
artchick.eth 🔥👠,digitalartchick,42855
King BlackBored 🏴‍☠️👑,KingBlackBored,6522
LouiΞ | apefollowape.eth🍌 🪦,louachu2,4897
ShrewdCharlie 🍌,ShrewdCharlie,4785
dingaling,dingalingts,16298
NFT Spicoli,GutterAssTiny,7864
DeeZe,DeezeFi,35524
Sir Vincent Fred 🍌,SirVincentFred,8578
Gutter Cat Gang,GutterCatGang,17214
Dragonseller 🍌,dragonseller88,4520
Ryan | rdm41.eth Ξ,RDM_41,5198
beeple,beeple,407358
metazig.eth,Ape4249,3335
Loopify 🧙‍♂️,Loopifyyy,52774
Jiro,JiroNFT,4548
ChrisUniverse.eth 🪐🦧,ChrisUniverseB,9726
PUNKS Comic,punkscomic,15534
gmoney.eth,gmoneyNFT,49677
Bourbon🍌,AlohaApeGang,3992
APE_G4NG,ape_g4ng,3370
Trevor4ever🍌,Trevor4ever210,4330
Bored Becky,iamboredbecky,5060
Paper 🍌,paper_ape,3482
NooFooToo.eth 🚂,NFTChooChoo,3124
Dario De Siena,Dario_Desiena,15237
Ape5170🍌,sincity_29,3897
🟣Mark🐀Troutman👽,markatroutman,3930
Baron Von Hustle,TheeHustleHouse,14193
Balou.eth,Balou_5569,3245
CryptoBonesy,BonesyCrypto,3340
Bored Cyborg,JSwinz,2839
NFTPrince,NFTPrince,4985
Christopher Smith 🍌,csmithSEC,7564
aCrazyMonkey 🍌,Ape8344,2659
girldad,girldadNFT,13085
MrAlan 🍌,mr_alan6,3151
Hunter,Hunter_NFT,8667
Bored Ape Caesar🥒,BoredApe6271,3777
MAJOR,MajorShankEm,6412
corporate trash ✨,corporatetrash1,4939
owylee.eth 🍌👽,owylee_eth,3340
RangerDave 🍌🪦,RangerDave10,2673
Sheep,sheepeth,3032
MR. BAYC | FΞLD 🍌,Beept4lk,3332
Cool Cats 🆒🐱,coolcatsnft,19480
Pajama Sam 🍌,pajamasam39,2585
Richard Vagner 🎻,RichVagner,4450
Cammy,Cannonballcam18,3027
RareGarbage🍌 Bored Ape #9823,GarbageRare,2529
Slam Diego NFT Zoo,SlamDiegoZoo,3012
gingershavesouls.eth 🍌,BoredApe5625,3757
Larva Labs,larvalabs,50053
Vee,thedigitalvee,6851
MushLove 🍌,half_ape,2447
theFrenchie.eth 🍌,thefrenchie_eth,2643
themariokarters.eth,themariokarters,10906
Bb8pe 🍌,ape2616,2570
Art Blocks,artblocks_io,36733
chicka.eth 💥🐣💥,chickaNFT,3876
huntΞr 🔥,hunterorrell,9370
NFT Boomer 💎🤝🏖️,NFTboomer,2931
Metaverse Mogul🍌,MetaverseMogul,2769
Muumiopappa,Muumiopappa,2926
The Sandbox,TheSandboxGame,160725
5511 🍌,BAYC5511,3320
Daybed.ΞTH,DaybedNFT,2681
4156,punk4156,32823
Travis the Ape 🦍☠️🦍,TravisTheApe,2535
danieltorres.eth 🍌,SwoleLuksoBags,3502
Manic NFT collector,5333Ape,3050
Daggerhigh 2794 🍕,dagg3rhigh,4281
Ape or Die LFG! 🍌🛖🐺🏇😺👽☠️💀🪴🥒🦍,ApeorDie1,2736
roham,roham,52858
DANNY,seedphrase,53308
RTFKT Studios,RTFKTstudios,38309
MacUhtack.eth,MacUhtack,2503
SilverFir NFT🍌,SilverFir18,2815
RickΞ 🍌⚽️,rickeccak,2125
cj,VLassall,3040
Justin Taylor,TheSmarmyBum,22994
Miley,ApeMiley,3993
𝖗𝖊𝖎𝖉𝖔.𝖊𝖙𝖍 🔫,reidoNFT,36705
danzi11a.eth 🍌,danzi11a_nft,2411
🗳4️⃣🐧,Vote4Pudgy,2589
Devin The Dude 🍌,devinthedude07,5131
Apeiana Jones 🍌,AJPokaPlaya1017,2467
codyandgia🍌,codyboston19,3052
1K | 0001K.eth,BoredApe1000,2490
brian suazo,briansuazo6,2496
Will // Krimson.eth // Ferrari Stables,BoredApe1974,2528
NotKatarina.eth,not_katarina,3416
FaiithJosh 🍌,Faiithjosh,2444
✨Alfie Tao✨,AlfieTao,3784
𝙼𝚘𝚛𝚐𝚊𝚗 𝙻𝚒𝚗𝚝𝚘𝚗 🍌,morganlinton,10493
Srini #❤️💜💚🍌,srinigoes,6059
yao,endofsolipsism,2749
Wicked Craniums,WickedCraniums,16106
Alexyz John 🍌,ajthegreater,2550
Kenshiro,Kenshiro_NFT,12162
🏝nathanhead.eth🏝,NathanHeadPhoto,11762
FaZe Banks,Banks,2807348
AstroApe.eth,AstroApeJeremy,2409
Toy Boogers 🍌🤖,ToyBoogers,2753
Jaymes.eth,JaymesWestfall,4303
Nate Chastain (natec.eth),natechastain,11599
voltura.eth,BAYC2745,2227
Matty,DCLBlogger,68600
andy,andy8052,25803
ETHNick.eth 🍌- 👁🤯👁,NickJames2021,2124
HelsinkiMystic🍌,HelsinkiMystic,2197
Boho 🍌,bohoboredape,2042
Disco Müde 🍌 - 2151,SoapBoxCar,2195
Dez Bryant,DezBryant,3466075
Farokh,farokh,20844
Doubleuwjr-Warren Watson 🍌,Doubleuwjr,3729
Bigeazy,EricLGarcia,2224
The Alien Boy 👽,TheAlienBoyNFT,10650
oohboyJ.eth🍌,OohboyJ,2132
boredguy.eth,boredethguy,2574
Machi Big Brother,machibigbrother,10907
